Expected,ExpectedReRef,NationCheck
아프가니스탄,(Afghanistan),Nation
카불,(Kabul|카불|카부르|카불)
헤라트,(Herat|헤라트|헤라쓰|헤라트)
칸다하르,(Kandahar|칸다하르|칸다하르|칸다하르)
미르웨이스,(Mīr Wais|미르웨이스|미르웨이스|미르웨이스)
마자릴쇼리프,(Mazar-i-Sharif|마자릴쇼리프|마자리쉬리프|마자릴쇼리프)
제랄간,(Jalālābād|제랄간|자랄라바드|자랄래바드)
퀀두즈,(Kunduz|퀀두즈|쿤두쓰|쿤두지)
브라크,(Balkh|브라크|발크|발크)
쿠스,(Khost|쿠스|코스트|코스토)
야후푸르,(Yahupur|야후푸르|야후퍼|야후퍼)
키리날,(Kīrān|키리날|키라날|키랄날)
브미안,(Bāmyān|브미안|바미안|바미안)
판시르,(Panjshir|판시르|판쉬|판샤)
닐기라리,(Nīlgīrī|닐기라리|닐기리|닐기라리)
트라말라,(Tir mala|트라말라|티르말라|트랄말라)
쿤가야크,(Kūngāyak|쿤가야크|쿤가야쁠|쿤가야크)
카페지안,(Kafir Qala|카페지안|카피르 칼라|카피르칼라)
하제바,(Hajibaba|하제바|하지바|하제바)
콘두즈,(Kondoz|콘두즈|콘도즈|콘도츠)
안두가르,(Andkhvoy|안두가르|안드크보이|안드코이)
팔제와틀,(Palas of Wat|팔제와틀|팔라스오브왓|팔라스오브왓)
푸스툰,(Pushtun Zarghun|푸스툰|푸슈툰|푸시턴자르군|푸스툰자르군)
카우카,(Kawka|카우카|카우카|카우카)
물타케,(Multaqah|물타케|무타카|무타케)
아칸다라,(Akandahar|아칸다라|아칸다라|아칸다라)
고저,(Gojo|고저|고조|고조)
케로치,(Kērótsch|케로치|케로치|케로치)
쉐린타나,(Sherintana|쉐린타나|셰린타나|셰린타나)
차란,(Charan|차란|차란|차란)
니림즈,(Nīrmūz|니림즈|니르무즈|니르무즈)
알바니아,(Albania),Nation
티라나,(Tirana|Tirane|티라네|Tirona|티로나)
두르레스,(Durres|Durrës|두르레스|두레스|둘레스|듀러스)
바토리,(Vlorë|Vlore|블로레|블로리)
코르치,(Korçë|Korce|코르체|코르체)
엘바산,(Elbasan|엘바산|엘바산)
코스코바,(Shkodër|Shkoder|스코더|스코더)
페리사,(Fier|피에르|피에르)
베른,(Berat|베라트|베라트)
라쿠,(Lushnjë|Lushnje|루슈니에|루슈니에)
기로카스터,(Gjirokastër|Gjirokaster|지로카스터|지로카스터)
페르메트,(Përmet|Permet|페르메트|페르메트)
브레가,(Bërë|Bere|베레|베레)
쿠카스,(Kuçovë|Kucove|쿠초베|쿠초베)
파터,(Patos|파토스|파토스)
피케타,(Pukë|Puke|푸케|푸케)
티루아나,(Tiruana|Tiruane|티루안아|티루안에)
페페로메니,(Përrenjas|Perrenjas|페르렌야스|페르렌야스)
크루재,(Krujë|Kruje|크루예|크루예)
파포르,(Papë|Pape|파페|파페)
부라티,(Bulqizë|Bulqize|불치제|불치제)
스페토르,(Spujt|Spujte|스푸트|스푸트)
밀트,(Milot|밀롯|밀로트)
그라바,(Gramsh|Gramshe|그람시|그람시)
플로렌타,(Poliçan|Polican|폴리찬|폴리찬)
레기,(Rrëshen|Rresht|레슨|레슨)
데꼬,(Delvinë|Delvine|델비네|델비네)
사라느르게,(Sarandë|Sarande|사란드|사란데)
후샤네,(Fushe-Arrez|Fushe-Arreze|후셔-알레즈|후셔-알레제)
칼라브리아,(Kavajë|Kavaje|카바제|카바제)
페라트,(Përroi|Perroi|페로이|페로이)
알제리,(Algeria),Nation
알제,(Algiers|알제|알제르스)
오란,(Oran|오란|오랑)
코스탄티나,(Constantine|코스탄티나|콘스탄틴)
아나바,(Annaba|아나바|아나바시)
부자둘,(Boumerdes|부마르데스|부자둘)
블리다,(Blida|블리다|블리타)
바트나,(Batna|바트나|바트나시)
티제리,(Tizi Ouzou|티지우즈|티제리)
텐자,(Tlemcen|틀렘센|텐자)
보루자,(Bordj Bou Arreridj|보르제부아레리지|보루자)
스키투,(Skikda|스키크다|스키투)
엘예브,(El Eulma|엘율마|엘예브)
아루아,(Aïn Oussera|아안우세라|아루아)
바라키,(Baraki)
오키시,(Ouargla|와르글라|오키시)
베자,(Béjaïa|베자|베자이아)
오뢰,(Oran|오란)
미실가,(M'sila|M'sila|미실가)
버지,(Bir Mourad Raïs|비르무라드레이스|버지)
이노게,(In Guezzam|인게자무|이노게)
버티어,(Batna|바트나|버티어)
엘타르프,(El Tarf|엘타르프|엘타르프)
티페자,(Tipaza|티파자|티페자)
미라트,(Mila|Mila|미라트)
고흐,(Ghardaïa|가르다야|고흐)
메다이아,(Medea|메데아|메다이아)
에른,(Errachidia|에라시디아|에른)
블리다,(Blida|블리다|블리타)
타제나,(Tajerouine|타제루인|타제나)
베자이아,(Béjaïa|베자이아|베자)
안도라,(Andorra),Nation
안도라라베라,(Andorra la Vella|라베라)
에스칼드스,(Escaldes-Engordany)
에나코,(Encamp)
로스카노,(les Escaldes)
산준반그네,(Sant Julià de Lòria)
라마산나,(La Massana)
오르따노,(Ordino)
카닐료,(Canillo)
아린살,(Arinsal)
시스포니,(Sispony)
엘타르테르,(El Tarter)
메리트셀,(Meritxell)
안요스,(Anyós)
산타콜로마,(Santa Coloma)
라코르티나다,(La Cortinada)
앙골라,(Angola),Nation
루안다,(Luanda|루안다|루완다)
훌라,(Huambo|훌라)
루방구,(Lubango|루안다 소|루방고)
뭐스퀴드루케스,(Malanje|뭐스퀴드루케스|말란제)
벵겔라,(Benguela|벤게라|벵궐라)
운다,(Uíge|운다|위제)
나미브,(Namibe|넴바|남이베)
소요카,(Soyo|소요카|소요|소요오)
루안다소,(Luanda Sul|루안다 소|루완다 술)
카후키,(Caxito|카후키|카시토)
은자,(Menongue|은자|멘롱게)
라프라이아,(Lobito|라프라이아|로비토)
밤발라,(Camacupa|밤발라|까마쿠파)
마풀라,(M'banza-Kongo|마풀라|엠반자 콩고)
쿠아텔라,(Kuando Kubango|쿠아텔라|콴도 쿠방고)
마킷라,(Makela do Zombo|마킷라|마켈라 두 존보)
호르트라,(Huila|호르트라|후일라)
카툼바라,(Catumbela|카툼바라|카툼벨라)
완자,(Waku Kungo|완자|와쿠 쿤고)
나멘가,(N'zeto|나멘가|엔제토|누아트처)
앙골라 카무방바,(Camabatela|앙골라 카무방바|까마바텔라)
카쾨페무바,(Caxito|카쾨페무바|카시토)
쿼테바도르,(Kuito|쿼테바도르|퀴토)
카치턈라,(Cuito Cuanavale|카치턈라|퀴토 쿠아나발레)
퀸봉고,(Kuando-Kubango|퀸봉고|콴도 쿠방고)
알피오소,(Ondjiva|알피오소|온지바)
카마쿠푸라,(Kamucuio|카마쿠푸라|카무쿠이오)
나이로비,(Nairobi|나이로비)
알피오소,(Ondjiva|알피오소|온지바)
나젤라,(Nazareth|나젤라|나자렛)
안티과 바부다,(Antigua and Barbuda),Nation
아르헨티나,(Argentina),Nation
아르메니아,(Armenia),Nation
오스트레일리아,(Australia),Nation
오스트리아,(Austria),Nation
아제르바이잔,(Azerbaijan),Nation
바하마,(Bahamas|The Bahamas),Nation
바레인,(Bahrain),Nation
방글라데시,(Bangladesh),Nation
바베이도스,(Barbados),Nation
벨라루스,(Belarus),Nation
